Strefa;Rodzaj;Nazwa;Obrazek;Opis;Ilość;IconLocation
Pustynia;Z;Fenek;fennecfox13.jpg;Gatunek drapieżnego ssaka z rodziny psowatych <i>(Canidae)</i>.Występuje na suchych i pustynnych terenach Półwyspu Arabskiego i północnej Afryki. Będąc najmniejszym przedstawicielem rodziny psowatych, uchodzi za największego ssaka drapieżnego Sahary.;3;2
Pustynia;Z;Moloch Straszliwy;Moloch_straszliwy_19.jpg;Gatunek niewielkiej jaszczurki z rodziny agamowatych, zamieszkujący zachodnioaustralijskie pustynie. Jej ciało pokrywają sterczące pionowe łuski oraz pomarańczowobrunatne plamy, co nadaje jej groźny wygląd. Jej pokarmem są mrówki. Rozród jajorodny. Długość ciała 15-22 cm. Prowadzi naziemny tryb życia.;3;1
Pustynia;Z;Wielbłąd;mini_camelmong.jpg;Rodzaj dużych ssaków z rodziny wielbłądowatych. Fizjologicznie przystosowane do życia w warunkach suchego i gorącego klimatu, są w wielu krajach wykorzystywane jako zwierzęta użytkowe. Wielbłądy wykorzystywane są jako wierzchowce, zwierzęta juczne, źródło mleka, wełny, mięsa i skóry, a także w celach rozrywkowych (cyrki, wyścigi wielbłądów).;3;3
Pustynia;R;Opuncja;;Rodzaj roślin (sukulentów) z rodziny kaktusowatych <i>(Cactaceae)</i>. Około 150 gatunków występuje w Ameryce Północnej i Południowej: od Kanady po południową Argentynę, niektóre zostały introdukowane na inne kontynenty.;3;
Pustynia;R;Aloes;;Rodzaj jednoliściennych sukulentów liściowych. Liczy ok. 550 gatunków. Należą do niego formy drzewiaste, krzewiaste, byliny, niekiedy liany.;3;
Pustynia;R;Tamaryszek;;Rodzaj krzewów lub małych drzew z rodziny tamaryszkowatych. Liczy około 50 gatunków z pustyń, półpustyń i stepów południowej Europy, północnej Afryki, Azji Mniejszej, środkowej Azji. Łacińska nazwa rodzaju pochodzi od rzeki Tamaris w Hiszpanii.;3;
Pustynia;S;Pustynia;345px-Libyen-sandwueste1.jpg;Teren o dużej powierzchni, pozbawiony zwartej szaty roślinnej wskutek małej ilości opadów i przynajmniej okresowo wysokich temperatur powietrza, co sprawia, że parowanie przewyższa ilość opadów.;9;3
Sawanna;Z;Lew;360px-Darica_Lion_07174.jpg;Mięsożerny gatunek ssaka lądowego z rodziny kotowatych, drugi po tygrysie – co do wielkości – wśród czterech ryczących wielkich kotów. Żyje w stadach.;3;3
Sawanna;Z;Szakal;Golden_wolf,_Serengeti.jpg;Szakal – nazwa kilku gatunków średniej wielkości drapieżników z rodzaju wilków. Szakale są mniejsze od wilków szarych, mają krótkie kończyny i bardziej wysmukły pysk. Żywią się drobnymi zwierzętami, padliną i roślinami.;3;4
Sawanna;Z;Hiena;360px-Crocuta-hejda.jpg;Rodzina dużych ssaków drapieżnych z podrzędu kotokształtnych <i>(Feliformia)</i> w rzędzie drapieżnych <i>(Carnivora)</i>.;3;1
Sawanna;R;Baobab;Baobob_tree.jpg;Rodzaj, do którego należy dziewięć gatunków potężnych, długowiecznych drzew liściastych. Gatunkiem typowym jest baobab afrykański.;3;
Sawanna;R;Daktylowiec;;Palma daktylowa, daktylowe drzewo – gatunek rośliny z rodziny arekowatych (popularnie nazywanych palmami). W stanie dzikim nie występuje, jest natomiast uprawiany w wielu krajach świata.;3;
Sawanna;R;Akacja;;Rodzaj drzew i krzewów należący do rodziny bobowatych i podrodziny mimozowych.;3;
Sawanna;S;Sawanna;sawanna.jpg;Jedna z wielu formacji trawiastych strefy międzyzwrotnikowej o klimacie gorącym z wyraźnie zaznaczoną porą suchą oraz porą deszczową.;9;1
Środziemnomorski;Z;Muflon;archiwum_array__ekran.jpg;Podgatunek ssaków łożyskowych z rzędu parzystokopytnych <i>(Artiodactyla)</i>. Pierwotnie występował tylko na Korsyce i Sardynii, później został introdukowany w wielu miejscach Europy. Przodek owcy domowej. Najmniejszy przedstawiciel dzikich owiec.;3;3
Środziemnomorski;Z;Gekon;gekon.jpg;Najbogatsza w gatunki rodzina małych i średniej wielkości jaszczurek. Obejmuje ponad 100 rodzajów i blisko 1200 gatunków opisanych naukowo. Gekony są gadami o najbardziej prymitywnej wśród jaszczurek budowie. Są też popularnymi wśród terrarystów zwierzętami domowymi.;3;2
Środziemnomorski;Z;Ryś Ibreryjski;247d62c77d9b84f3a8692d84c2a4ed2e.jpg;Ryś cętkowany, ryś hiszpański, ryś lamparci, pardel <i>(Lynx pardinus)</i> – gatunek drapieżnego ssaka z rodziny kotowatych, niekiedy jest traktowany jako podgatunek rysia <i>(Felis lynx pardina)</i>.;3;3
Środziemnomorski;R;Figowiec;;Rodzaj roślin z rodziny morwowatych <i>(Moraceae Link)</i>, do niedawna obejmujący ok. 1200 gatunków, z których część została obecnie wydzielona w odrębne rodzaje tej rodziny.;3;
Środziemnomorski;R;Cyprys;;Rodzaj drzew iglastych z rodziny cyprysowatych. Obejmuje ok. 17–19 gatunków,;3;
Środziemnomorski;R;Mirt;;Rodzaj roślin z rodziny mirtowatych. Według najnowszych ujęć taksonomicznych należy do niego tylko kilka gatunków, liczne dawniej do niego zaliczane zostały wyłączone do wielu oddzielnych rodzajów.;3;
Środziemnomorski;S;Krajobraz Śródziemnomorski;korcula.jpg;Region obejmujący obszary leżące nad Morzem Śródziemnym należące do Europy, Azji i Afryki.;9;2
Step;Z;Suhak;suhak.jpg;Rodzaj ssaków kopytnych z rodziny wołowatych <i>(Bovidae)</i>. W przeszłości nazwą „suhak” oznaczany był w Polsce gatunek Saiga tatarica.;3;4
Step;Z;Orzeł stepowy;Orzel_stepowy_2.jpg;Gatunek dużego ptaka drapieżnego z rodziny jastrzębiowatych <i>(Accipitridae)</i>, zamieszkujący stepy południowo-wschodniej Europy i Azji, od Rumunii do Mongolii.;3;1
Step;Z;Drop;Drop8.jpg;Gatunek dużego ptaka z rodziny dropi <i>(Otididae)</i>, będący jedynym przedstawicielem rodzaju Otis.;3;1
Step;R;Niezapominajka;;"Dosłownie ""mysie uszko"" z greckiego mys – mysz (w dopełniaczu myos) i us – ucho (w dopełniaczu otos)) – rodzaj roślin należący do rodziny ogórecznikowatych. Zwyczajowo nazywanych niezabudką.";3;
Step;R;Piwonia;;Jedyny rodzaj należący do rodziny piwoniowatych <i>(Paeoniaceae)</i>. Należą do niego ok. 33 gatunki. Pochodzą głównie z obszarów Europy i Azji o umiarkowanym klimacie, jedynie 2 gatunki pochodzą z zachodniego wybrzeża Ameryki Północnej.;3;
Step;R;Irys;;Rodzaj roślin należący do rodziny kosaćcowatych. Kosaćce występują w stanie dzikim na półkuli północnej i jest ich ponad 200 gatunków.;3;
Step;S;Step;step.jpg;Formacja roślinna, zwykle wielogatunkowa, ale pozbawiona drzew. W pokrywie roślinnej znaczną rolę odgrywają trawy, którym towarzyszą kseromorficzne rośliny zielne, rzadko także krzewy.;9;3
Tajga;Z;Głuszec;gluszec - T_Ogrodowczyk.jpg;Gatunek dużego ptaka z rodziny kurowatych <i>(Phasianidae)</i>.;3;3
Tajga;Z;Niedżwiedż brunatny;brown_bear.JPG;Gatunek drapieżnego ssaka z rodziny niedźwiedziowatych. Zamieszkuje Azję, Europę Północną i Amerykę Północną. Nie jest zagrożony wyginięciem.;3;4
Tajga;Z;Jastrząb;hawk.jpg;Gatunek dużego ptaka drapieżnego z rodziny jastrzębiowatych <i>(Accipitridae)</i>.;3;3
Tajga;R;Sosna;;Rodzaj roślin z rodziny sosnowatych <i>(Pinaceae Lindl.)</i> obejmujący niemal 115 gatunków drzew i krzewów. Występują przeważnie w strefie klimatu umiarkowanego półkuli północnej, choć niektóre gatunki rosną również w strefach cieplejszych (tu jednak zwykle w górach).;3;
Tajga;R;Modrzew;;Rodzaj drzew z rodziny sosnowatych, który obejmuje kilkanaście gatunków występujących na obszarach umiarkowanych i chłodnych półkuli północnej.;3;
Tajga;R;Jodła;;Rodzaj zimozielonych drzew z rodziny sosnowatych <i>(Pinaceae Lindl.)</i>. Obejmuje co najmniej 48 gatunków występujących na półkuli północnej – najczęściej we wschodniej Azji oraz Ameryce Północnej. W Polsce naturalnie rośnie jodła pospolita <i>(Abies alba Mill.)</i>. W Górach Świętokrzyskich, Karpatach oraz na Roztoczu rosną bory jodłowe.;3;
Tajga;S;Tajga;Tajga.jpg;Lasy iglaste, które występują w północnej części Azji (Syberia, Sachalin, Kamczatka) i Ameryki Północnej (Alaska i Kanada), Europy(Półwysep Skandynawski, Karelia, północno-wschodnia część Niziny Wschodnioeuropejskiej), w obrębie klimatu umiarkowanego chłodnego na półkuli północnej.;9;2
Tundra;Z;Leming;leming.jpg;Rodzaj gryzoni z rodziny chomikowatych, obejmujący gatunki występujące w północnej Europie i Azji oraz północnej Ameryce Północnej <i>(L. trimucronatus)</i>.;3;4
Tundra;Z;Lis polarny;Lis_polarny_2.jpg;Gatunek drapieżnego ssaka z rodziny psowatych, występujący na obszarach na północ od kręgu polarnego.;3;3
Tundra;Z;Renifer;Renifer.jpg;Gatunek ssaka z rodziny jeleniowatych <i>(Cervidae)</i>, zamieszkujący arktyczną tundrę i lasotundrę w Eurazji i Ameryce Północnej.;3;1
Tundra;R;Chrobotek reniferowy;;Gatunek grzybów należący do rodziny chrobotkowatych <i>(Cladoniaceae)</i>. Ze względu na współżycie z glonami zaliczany jest do porostów.;3;
Tundra;R;Borówka;;Rodzaj roślin z rodziny wrzosowatych <i>(Ericaceae Juss)</i>. Według niektórych ujęć taksonomicznych należy do niego ok. 450 gatunków występujących głównie na półkuli północnej.;3;
Tundra;R;Brzoza karłowata;;Gatunek karłowatego krzewu z rodziny brzozowatych <i>(Betulaceae)</i>. Występuje głównie w tundrze półkuli północnej. We florze polskiej brzoza karłowata jest reliktem glacjalnym.;3;
Tundra;S;Tundra;Tundra.jpg;Bezleśne zbiorowisko roślinności w zimnym klimacie strefy arktycznej i subarktycznej. Latem Temperatura nie przekracza 15 stopni Celcjusza, trwa dzień polarny.;9;4
PustyniaLodowa;Z;Pingwin cesarski;Pingwin_cesarski_12.jpg;Gatunek dużego ptaka z rodziny pingwinów, endemiczny dla Antarktydy. Jest największym żyjącym przedstawicielem rodziny pingwinów.;3;4
PustyniaLodowa;Z;Niedżwiedż polarny;590a55cf2fb69_niedxwiedz-kra.jpg;Gatunek dużego ptaka z rodziny pingwinów, endemiczny dla Antarktydy. Jest największym żyjącym przedstawicielem rodziny pingwinów.;3;1
PustyniaLodowa;Z;Mors;walrus-518233_960_720.jpg;Gatunek dużego drapieżnego ssaka morskiego, jedyny współcześnie żyjący przedstawiciel dawniej licznej w gatunki rodziny morsowatych <i>(Odobenidae)</i> i jedyny gatunek z rodzaju Odobenus.;3;3
PustyniaLodowa;R;Śmiałek arktyczny;;Gatunek byliny należący do rodziny wiechlinowatych. Jeden z dwóch gatunków roślin naczyniowych występujących na Antarktydzie.;3;
PustyniaLodowa;R;Kolobant antarktyczny;;Gatunek byliny należący do rodziny goździkowatych. Jest jednym z dwóch rodzimych gatunków roślin naczyniowych występujących w Antarktyce.;3;
PustyniaLodowa;R;Mchy i Porosty (Arktyczne);;Porosty-Tradycyjna nazwa organizmów składających się z grzybów. <br> Mchy-Gromada roślin telomowych obejmująca małe, osiągające od 1 do 10 cm wysokości organizmy, przeważnie żyjące skupiskowo w ocienionych i wilgotnych miejscach.;3;
PustyniaLodowa;S;Pustynia Lodowa;YExDyK1S6p.jpg;Obszar praktycznie pozbawiony pokrywy roślinnej, występuje w strefie podbiegunowej. Obszar pustyni lodowej pokrywa lądolód, czyli gruba warstwa lodu przykrywająca wielki obszar ziemi, o grubości kilku kilometrów, który powstaje w warunkach klimatu polarnego.;9;1
